generation,max,mean,min
0,12.122793206096132,10.328192448254708,9.989085342687426
1,12.122793206096132,10.586594930349563,10.054036061243101
2,12.122793206096132,10.44973843095661,10.045124320228432
3,32.93236947444194,12.650454120478754,10.033876732447153
4,27.91860109028035,12.095957666443422,10.00930766846733
5,32.93236947444194,12.901770672444425,10.00930766846733
6,32.93236947444194,14.471737209785834,10.170418174044258
7,32.93236947444194,18.922068611681283,10.249719459182481
8,27.91860109028035,12.402320731853287,10.249719459182481
9,32.93236947444194,15.131618569471247,10.261095263660422
10,32.93236947444194,25.69204168209431,10.261095263660422
11,32.93236947444194,27.976711750723723,10.447836364931026
12,32.93236947444194,25.79460893689202,10.189926410949491
13,32.93236947444194,23.52036463054277,10.189926410949491
14,32.93236947444194,25.6340507123762,10.189926410949491
15,32.93236947444194,21.111353095075863,10.189926410949491
16,32.93236947444194,23.330151498805137,10.151287292712832
17,32.93236947444194,23.332466405478364,10.151287292712832
18,32.93236947444194,27.908295018725447,10.189926410949491
19,32.93236947444194,30.15674832967654,10.189926410949491
